Owner_of_vehicle,Road_allignment,Road_surface_conditions,Number_of_casualties,Casualty_class,Sex_of_casualty,Casualty_severity
owner,sharp reverse curve,dry,2,pedestrian,female,3
owner,sharp reverse curve,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with mountainous terrain and,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,pedestrian,female,3
governmental,tangent road with flat terrain,dry,1,passenger,male,3
governmental,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
governmental,tangent road with mild grade and flat terrain,dry,1,driver or rider,female,2
owner,tangent road with flat terrain,dry,1,passenger,male,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,escarpments,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,pedestrian,female,2
owner,tangent road with flat terrain,dry,1,pedestrian,female,3
owner,tangent road with flat terrain,dry,2,passenger,female,3
owner,tangent road with flat terrain,dry,2,passenger,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,2,driver or rider,female,3
owner,tangent road with flat terrain,dry,2,pedestrian,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
governmental,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,gentle horizontal curve,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,pedestrian,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,pedestrian,female,3
owner,tangent road with mild grade and flat terrain,dry,1,passenger,female,3
governmental,tangent road with flat terrain,wet or damp,3,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
organization,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,pedestrian,male,2
owner,tangent road with flat terrain,dry,1,passenger,male,3
owner,tangent road with flat terrain,dry,1,pedestrian,female,3
owner,tangent road with flat terrain,dry,1,passenger,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,passenger,male,2
owner,tangent road with flat terrain,dry,1,passenger,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,pedestrian,male,2
owner,tangent road with flat terrain,dry,2,pedestrian,male,3
owner,tangent road with flat terrain,dry,2,driver or rider,male,3
owner,tangent road with flat terrain,wet or damp,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,pedestrian,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,wet or damp,1,passenger,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
governmental,tangent road with flat terrain,dry,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
organization,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,steep grade downward with mountainous terrain,dry,1,passenger,male,3
owner,steep grade downward with mountainous terrain,wet or damp,1,driver or rider,male,1
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,passenger,male,3
owner,tangent road with flat terrain,dry,1,pedestrian,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,pedestrian,male,2
owner,tangent road with flat terrain,dry,2,driver or rider,male,3
owner,steep grade downward with mountainous terrain,dry,2,driver or rider,male,2
governmental,tangent road with flat terrain,dry,2,passenger,male,2
owner,tangent road with mild grade and flat terrain,dry,1,driver or rider,male,1
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
organization,tangent road with flat terrain,dry,1,driver or rider,male,2
owner,tangent road with mild grade and flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,pedestrian,female,2
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with mild grade and flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,passenger,female,2
owner,tangent road with flat terrain,dry,1,driver or rider,female,2
owner,tangent road with flat terrain,dry,1,passenger,male,3
owner,tangent road with flat terrain,dry,1,pedestrian,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,passenger,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,passenger,male,3
owner,tangent road with flat terrain,dry,1,passenger,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,passenger,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,wet or damp,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,pedestrian,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,passenger,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,passenger,male,3
owner,tangent road with flat terrain,dry,4,passenger,male,3
governmental,tangent road with flat terrain,dry,4,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,escarpments,dry,1,driver or rider,female,3
owner,tangent road with mountainous terrain and,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,2
owner,tangent road with mild grade and flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,pedestrian,female,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,passenger,male,3
owner,tangent road with flat terrain,dry,1,pedestrian,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with mild grade and flat terrain,dry,1,passenger,male,3
owner,tangent road with flat terrain,dry,1,passenger,female,2
owner,tangent road with flat terrain,dry,1,passenger,female,1
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,pedestrian,female,1
governmental,tangent road with flat terrain,dry,1,driver or rider,female,3
governmental,tangent road with flat terrain,dry,1,pedestrian,male,3
governmental,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,pedestrian,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,pedestrian,female,3
owner,tangent road with flat terrain,dry,1,pedestrian,male,3
governmental,tangent road with flat terrain,wet or damp,2,driver or rider,male,3
owner,tangent road with flat terrain,wet or damp,2,passenger,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
governmental,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
organization,tangent road with flat terrain,dry,1,pedestrian,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,steep grade downward with mountainous terrain,wet or damp,1,driver or rider,male,3
owner,tangent road with flat terrain,wet or damp,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,pedestrian,male,2
owner,tangent road with flat terrain,dry,1,pedestrian,male,3
governmental,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,passenger,male,3
owner,tangent road with flat terrain,wet or damp,1,passenger,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,steep grade downward with mountainous terrain,dry,1,passenger,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
governmental,steep grade downward with mountainous terrain,dry,1,pedestrian,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,2,driver or rider,female,3
owner,tangent road with flat terrain,dry,2,pedestrian,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,passenger,male,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,passenger,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,2
governmental,tangent road with flat terrain,dry,1,pedestrian,female,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,2,passenger,female,3
owner,tangent road with flat terrain,dry,1,pedestrian,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
governmental,tangent road with flat terrain,dry,1,pedestrian,male,1
organization,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,wet or damp,1,driver or rider,male,3
governmental,tangent road with flat terrain,dry,1,pedestrian,male,3
owner,tangent road with flat terrain,wet or damp,1,pedestrian,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,2
owner,tangent road with flat terrain,wet or damp,1,pedestrian,male,3
owner,tangent road with flat terrain,dry,2,pedestrian,female,3
owner,tangent road with flat terrain,dry,2,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,pedestrian,male,2
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,pedestrian,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,3,passenger,female,3
owner,tangent road with mild grade and flat terrain,dry,1,pedestrian,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,wet or damp,2,driver or rider,male,3
owner,tangent road with flat terrain,wet or damp,2,driver or rider,female,3
owner,tangent road with mild grade and flat terrain,wet or damp,1,pedestrian,female,2
owner,tangent road with flat terrain,dry,1,pedestrian,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,2,pedestrian,male,3
owner,tangent road with flat terrain,dry,2,passenger,female,3
owner,tangent road with flat terrain,wet or damp,1,pedestrian,male,3
owner,tangent road with flat terrain,dry,1,pedestrian,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,passenger,male,3
organization,tangent road with mountainous terrain and,dry,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
governmental,tangent road with mild grade and flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,wet or damp,1,driver or rider,female,3
owner,tangent road with flat terrain,wet or damp,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,escarpments,dry,2,pedestrian,female,2
owner,tangent road with flat terrain,dry,2,pedestrian,male,3
owner,tangent road with flat terrain,wet or damp,1,driver or rider,male,3
owner,tangent road with flat terrain,wet or damp,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,5,passenger,female,3
owner,tangent road with flat terrain,dry,5,passenger,female,3
owner,tangent road with flat terrain,dry,5,driver or rider,male,2
owner,tangent road with flat terrain,dry,5,driver or rider,female,3
owner,tangent road with rolling terrain,dry,1,pedestrian,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
governmental,tangent road with flat terrain,wet or damp,1,driver or rider,female,3
governmental,tangent road with flat terrain,wet or damp,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,pedestrian,female,2
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
governmental,escarpments,dry,2,passenger,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
governmental,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,pedestrian,male,3
governmental,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,passenger,male,2
organization,tangent road with flat terrain,wet or damp,3,passenger,female,3
owner,tangent road with flat terrain,wet or damp,3,pedestrian,female,3
organization,tangent road with mountainous terrain and,wet or damp,3,pedestrian,male,3
owner,escarpments,dry,1,driver or rider,male,3
owner,tangent road with mountainous terrain and,dry,1,driver or rider,male,3
owner,tangent road with mild grade and flat terrain,dry,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,pedestrian,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
governmental,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with mild grade and flat terrain,wet or damp,1,passenger,male,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,2,pedestrian,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,2,passenger,female,3
governmental,tangent road with flat terrain,dry,1,driver or rider,male,3
governmental,tangent road with flat terrain,dry,1,pedestrian,female,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
organization,tangent road with flat terrain,dry,1,driver or rider,male,3
governmental,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,passenger,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,pedestrian,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,steep grade downward with mountainous terrain,dry,1,driver or rider,female,3
owner,tangent road with mild grade and flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,pedestrian,male,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,steep grade downward with mountainous terrain,dry,1,driver or rider,female,3
owner,steep grade downward with mountainous terrain,dry,1,pedestrian,male,3
owner,tangent road with rolling terrain,dry,1,pedestrian,male,3
governmental,tangent road with flat terrain,dry,1,pedestrian,female,2
owner,tangent road with mild grade and flat terrain,wet or damp,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
organization,tangent road with flat terrain,dry,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with mild grade and flat terrain,dry,1,pedestrian,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,pedestrian,female,3
owner,tangent road with mild grade and flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,wet or damp,1,passenger,female,2
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with mild grade and flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,2
owner,tangent road with mild grade and flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,2,pedestrian,female,3
owner,tangent road with flat terrain,dry,2,pedestrian,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,2,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,wet or damp,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,pedestrian,male,3
governmental,tangent road with flat terrain,dry,1,pedestrian,male,3
owner,steep grade downward with mountainous terrain,dry,1,pedestrian,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with mountainous terrain and,dry,1,pedestrian,female,2
owner,tangent road with mountainous terrain and,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,2,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,2
owner,tangent road with flat terrain,dry,2,driver or rider,male,3
owner,tangent road with flat terrain,wet or damp,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with mild grade and flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,wet or damp,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
governmental,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
governmental,tangent road with flat terrain,dry,1,pedestrian,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
governmental,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with mild grade and flat terrain,dry,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
governmental,tangent road with flat terrain,dry,1,passenger,male,3
owner,tangent road with flat terrain,dry,3,passenger,female,3
owner,tangent road with flat terrain,dry,3,driver or rider,male,3
owner,tangent road with flat terrain,dry,3,driver or rider,female,3
owner,tangent road with flat terrain,dry,3,pedestrian,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,pedestrian,female,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,pedestrian,female,2
owner,steep grade downward with mountainous terrain,dry,1,pedestrian,male,3
owner,tangent road with flat terrain,dry,1,pedestrian,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,passenger,male,3
governmental,tangent road with flat terrain,dry,1,pedestrian,female,2
owner,tangent road with flat terrain,dry,4,driver or rider,female,3
owner,tangent road with flat terrain,dry,4,passenger,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,passenger,male,3
owner,tangent road with flat terrain,wet or damp,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
governmental,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,passenger,male,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
governmental,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,2,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,pedestrian,female,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with rolling terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,2,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,passenger,male,3
governmental,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
governmental,escarpments,dry,1,passenger,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,passenger,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
governmental,tangent road with flat terrain,dry,1,pedestrian,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
organization,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,2
owner,escarpments,dry,2,driver or rider,female,3
owner,tangent road with flat terrain,dry,2,driver or rider,female,3
owner,tangent road with mountainous terrain and,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,3,driver or rider,male,3
owner,tangent road with flat terrain,dry,3,driver or rider,male,3
owner,tangent road with flat terrain,dry,4,driver or rider,female,3
owner,tangent road with flat terrain,dry,4,driver or rider,male,3
owner,tangent road with flat terrain,dry,4,passenger,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,1
owner,tangent road with flat terrain,dry,2,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,pedestrian,female,3
owner,tangent road with mild grade and flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,3,pedestrian,female,2
owner,tangent road with flat terrain,dry,3,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,pedestrian,female,3
organization,tangent road with flat terrain,dry,1,pedestrian,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,pedestrian,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,steep grade downward with mountainous terrain,dry,2,driver or rider,male,3
owner,tangent road with flat terrain,dry,2,driver or rider,male,3
owner,tangent road with flat terrain,dry,2,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,2
owner,tangent road with mountainous terrain and,dry,1,pedestrian,male,3
owner,tangent road with rolling terrain,dry,1,passenger,female,3
governmental,tangent road with flat terrain,dry,1,passenger,female,3
governmental,tangent road with flat terrain,dry,2,pedestrian,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
organization,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,pedestrian,male,3
owner,tangent road with flat terrain,dry,1,pedestrian,male,2
owner,tangent road with mild grade and flat terrain,dry,2,passenger,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
governmental,tangent road with flat terrain,dry,1,pedestrian,female,2
owner,tangent road with flat terrain,wet or damp,3,driver or rider,male,3
owner,tangent road with flat terrain,wet or damp,3,driver or rider,male,3
governmental,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with mild grade and flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,2
governmental,tangent road with flat terrain,dry,1,pedestrian,male,3
owner,tangent road with mild grade and flat terrain,dry,1,driver or rider,male,2
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with mild grade and flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,passenger,female,3
owner,tangent road with flat terrain,dry,1,passenger,male,3
owner,tangent road with flat terrain,wet or damp,1,passenger,male,3
owner,tangent road with flat terrain,wet or damp,1,passenger,male,3
owner,steep grade downward with mountainous terrain,dry,2,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,pedestrian,female,3
owner,steep grade downward with mountainous terrain,dry,1,driver or rider,male,3
owner,steep grade downward with mountainous terrain,dry,1,passenger,male,3
owner,tangent road with mountainous terrain and,wet or damp,1,driver or rider,male,3
owner,tangent road with mountainous terrain and,dry,1,passenger,female,3
owner,tangent road with mild grade and flat terrain,dry,1,driver or rider,female,3
owner,tangent road with flat terrain,dry,1,driver or rider,male,3
owner,tangent road with flat terrain,dry,1,pedestrian,female,3
owner,tangent road with flat terrain,dry,1,passenger,male,3
owner,tangent road with mild grade and flat terrain,dry,1,pedestrian,female,2
owner,tangent road with flat terrain,dry,1,driver or rider,female,3
